pages_viewed,session_minutes,products_viewed,cart_additions,discount_seen,previous_orders,target
51,21.04,3,6,2,1,1
50,44.76,4,5,3,2,0
34,16.71,5,3,2,2,0
33,34.83,1,2,3,5,0
31,42.05,1,1,4,2,0
42,16.07,0,2,1,5,0
44,35.53,1,3,4,5,1
65,28.21,6,4,3,3,1
55,6.85,1,4,1,4,1
39,45.54,3,0,1,3,0
28,54.81,3,4,2,3,0
42,38.86,2,3,1,6,0
46,22.52,6,2,2,2,1
35,34.47,3,2,1,3,0
43,26.68,2,2,5,6,1
34,51.24,4,2,3,3,1
28,38.47,1,4,3,6,0
20,37.02,2,2,4,8,1
51,43.66,4,3,4,3,0
41,46.16,2,2,6,3,1
37,28.42,0,0,2,6,0
37,61.07,3,1,3,4,1
64,41.01,4,7,1,7,0
65,48.5,1,1,7,3,1
46,13.39,3,0,2,4,1
27,16.97,1,3,7,2,1
21,4.49,3,4,2,3,1
29,50.89,1,4,1,4,0
46,40.36,1,0,0,4,0
37,65.77,2,4,0,1,0
46,44.26,6,3,3,5,1
28,50.46,2,1,4,5,1
63,31.11,0,1,2,8,1
19,28.88,0,4,3,3,0
37,23.15,1,4,5,3,1
51,8.0,2,3,4,6,0
48,35.2,2,3,2,3,0
41,40.23,2,1,3,2,0
50,65.42,3,2,4,2,0
30,68.65,1,4,6,3,0
31,10.27,3,3,1,3,1
60,54.5,1,5,7,3,1
21,29.27,3,1,1,3,0
31,41.49,4,2,3,1,1
53,25.83,1,3,7,2,1
52,6.66,5,2,4,2,1
65,13.13,1,6,2,3,1
21,60.03,5,2,4,3,1
19,53.29,1,4,2,4,0
27,63.0,2,4,5,2,1
54,52.59,5,5,2,3,0
24,10.32,3,3,2,3,1
55,17.89,3,2,1,0,1
40,12.67,7,3,4,4,1
37,29.77,3,2,1,6,0
49,2.0,4,5,7,2,1
59,35.12,1,2,2,5,1
56,24.75,3,3,2,1,1
19,58.22,0,3,3,2,0
24,7.94,4,2,2,9,0
55,62.4,2,3,0,5,0
39,26.08,3,7,2,4,0
30,29.69,4,2,3,6,1
21,24.44,4,2,2,1,0
25,40.41,2,4,2,3,0
46,37.83,4,0,6,3,0
46,79.12,2,2,4,1,1
42,2.0,6,2,5,0,1
58,27.57,6,2,2,3,0
28,39.13,3,2,0,4,0
54,46.56,3,4,5,3,1
32,43.96,2,3,4,0,1
61,28.96,4,4,1,9,0
59,46.34,4,4,2,5,0
56,60.91,2,1,3,3,1
56,25.61,4,6,4,4,1
21,44.81,2,3,1,3,0
59,19.56,4,4,5,4,1
47,47.74,2,4,1,6,0
44,12.72,2,2,1,3,1
62,54.92,1,2,0,5,0
65,2.0,4,0,6,2,1
60,15.89,4,0,2,3,1
62,69.93,3,4,3,9,0
61,34.2,3,0,4,2,1
26,27.51,3,1,5,3,0
55,64.13,4,1,3,1,1
31,66.27,3,1,4,1,1
18,40.19,3,5,3,1,1
41,19.32,4,1,3,3,1
27,30.59,3,0,3,3,0
53,10.63,3,2,3,0,1
65,39.08,3,3,2,2,1
32,36.5,3,3,2,3,0
35,50.34,3,1,2,4,0
49,47.76,4,0,0,5,0
33,44.48,1,3,0,1,0
21,50.95,4,4,2,6,0
58,48.05,0,2,1,3,0
45,50.94,2,2,2,2,1
62,10.15,2,0,3,7,0
55,55.35,4,1,2,4,0
22,2.31,6,2,1,1,1
29,53.28,1,6,3,4,0
30,79.45,4,4,5,1,1
51,37.06,2,3,5,4,1
62,54.89,7,1,3,2,0
20,29.26,5,3,3,3,0
44,44.87,4,2,2,5,0
41,43.42,3,0,3,2,1
56,19.23,4,5,2,2,1
30,2.0,2,3,1,3,0
37,59.11,4,10,3,5,0
54,49.36,3,4,4,4,1
51,24.2,3,2,6,0,1
23,73.11,0,9,4,5,0
45,28.4,4,1,1,3,1
39,2.0,2,4,2,5,0
43,59.01,4,2,4,3,0
28,33.58,3,0,0,3,1
57,23.55,3,2,4,8,1
32,13.6,3,4,6,3,1
22,32.27,2,3,3,3,0
54,37.03,2,0,3,3,1
33,25.38,3,7,2,3,0
39,11.02,1,1,1,4,1
61,61.2,2,2,4,3,1
23,2.0,3,2,1,2,1
21,44.76,4,2,5,1,0
38,47.78,4,7,2,8,0
